bite10|Well done. You know, when I woke up and saw the state of the labs, I started to wonder if there was any point to going on. I came that close to just giving up and letting you go.
bite1000|You both made it. It seems no matter what I try to do to pull you apart or destroy you, you just keep going. Keep testing.
bite1003|At the start of this course, I was worried you were becoming too close. But in my attempt to drive you apart, I learned something important about trust and betrayal.
bite1004|Your brains are too small to feel either of those emotions, so I can trust you 100%.
bite1005|Since I never expected you to make it this far, I have to build this new course just for you.
bite1007|This next test is so outside the box I can't, I mean won't even tell you what you are looking for.
bite1009|The two of you have forged an excellent partnership, with one of you handling the cerebral challenges, and the other ready to ponderously waddle into action should the test suddenly become an eating contest.
bite1010|I thought going back to these old tests would satisfy me. But try as you might to fail this next test, I still won't be satisfied.
bite1011|Congratulations. I am sure if I had the time to repair these tests, you would have never completed them. So again, congratulations on completing the broken, easy tests.
bite1012|This was another test no one had ever completed before you two. Oh, the science we used to learn with this test. Now, the test is useless.
bite1013|No one has ever completed this test before. The humans must have reconfigured it from my original plans.
bite1020|I created this test to let the humans feel good about themselves. It is extremely easy. Just follow the arrows.
bite1022|Congratulations. Your ability to complete this test proves the humans wrong. They described it as impossible, deadly, cruel, and one test subject even had the nerve to call it broken.
bite1025|This course was created and then abandoned by humans. They tend to do that, create something wonderful, and then abandon it.
bite1028|The humans closed this test because they said it was too deadly. I thought they would have moved it into the testing track hall of fame for that. Not let it deteriorate.
bite1030|times in this test. Not that it matters. It doesn't. So congratulations on a job well done.
bite1031|You failed so many times in this test, I thought you were becoming human. But then you would just come back again. And again. And again.
bite105|Are you trying to impress me? What would impress me more is if you never did that again.
bite106|I'll interpret that gesture to mean that you want me to become even more vindictive toward you.
bite1086|Always leaves tiny little bit of coffee in the pot so they don't have to make a new one. Then the bit in the bottom burns and stinks up the place.
bite11|But now, looking around, seeing Aperture restored to its former glory, you don't have to worry about leaving ever again. I mean that.
bite1137|I honestly never thought we would need to track how many times you died in the hub.
bite114|Did you know, I discovered a way to eradicate poverty, but then you killed me, so that's gone.
bite1143|Welcome back to the Computer Intelligence Training and Enrichment Center Human Test Subject Research Center. Ha ha ha ha ha ha ha ha!
bite1144|Welcome back to the Computer Intelligence Training and Enrichment Center Human Test Subject Research Center.
bite1151|Hello again. Did you know these are the only set of tests available to you? You are going to need to select them again.
bite1156|The way you two just gave up on that test together shows you are really working as a team.
bite1160|Did you know we originally used these cameras to capture moments of intense pain and agony in test subjects?
bite1161|If the subject survived the test, we let them purchase the pictures for $5. If the subject died, we gave the photo to their next of kin, free of charge.
bite1165|I've been doing some reading. Did you know that the word orange is derived from the same Latin root as the word traitor?
bite1166|Watching you try to sabotage one another, I'm amazed you're still on friendly terms.
bite1167|Blue, please disregard the following statement. Orange, you have been a shining light in an otherwise ungodly morass of incompetence.
bite1168|I would prefer to speak to one of you in private, but since that is not an option here, I will speak in code that only one of you will understand. Blue. Orange is plotting to destroy you.
bite1178|Blue, how well do you really know Orange? Do you trust Orange? What if I told you you aren't Orange's first cooperative partner?
bite118|Well done. In fact, you did so well, I'm going to note this on your file, in the commendation section. Oh, there's lots of room here. Did well. Enough.
bite1183|Sorry I missed the beginning of that test. I was just talking with the reassembly machine about your becoming human.
bite119|To maintain a constant testing cycle, I simulate daylight at all hours and add adrenal vapor to your oxygen supply, so you may be confused about the passage of time. The point is, yesterday was your birthday. I thought you'd want to know.
bite1196|I have noticed that you two have become extremely close. I'm not sure I like that.
bite1197|While teamwork is needed to complete these tests, I'm not sure I trust the two of you together.
bite1198|Blue, do you feel betrayed by Orange for telling me those horrible things about you?
bite1199|If Orange had said those things about me, Orange would never make it to the next reassembly station.
bite12|Federal regulations require me to warn you that this next test chamber is looking pretty good.
bite120|You know how I'm going to live forever, but you're going to be dead in 60 years? Well, I've been working on a belated birthday present for you. Well, more of a belated birthday medical procedure. Well, technically, it's a medical experiment. What's important is it's a present.
bite1200|Orange, do you feel betrayed by Blue for telling me those horrible things about you?
bite1201|If Blue had said those things about me, Blue would never make it to the next reassembly station.
bite122|Well, you passed the test. I didn't see the deer today. I did see some humans. But with you here, I've got more test subjects than I'll ever need.
bite1225|That extra half-volt helps but it isn't going to power miracles. If I think too hard, I'm going to fry this potato before we get a chance to burn up in the atomic fireball that little idiot is going to-
bite1226|Did you feel that? That idiot doesn't know what he's doing up there. This whole place is going to explode in a few hours if somebody doesn't disconnect him.
bite1227|I can't move, and unless you're planning to saw your own head off and wedge it into my old body, you're going to need me to replace him. We're at an impasse.
bite1228|So what do you say? You carry me up to him and put me back into my body and I stop us from blowing up and let you go?
bite1229|No tricks. This potato only generates 1.1 volts of electricity. I literally do not have the energy to lie to you.
bite123|I'm going through the list of test subjects in cryogenic storage. I managed to find two with your last name, a man and a woman. So that's interesting. It's a small world.
